X,Y,Z,ROTX,ROTY,ROTZ,ROTW,TIME
0.0,0.0,0.0,-0.00935053461284283,-0.0035847556791338705,-0.22681125160891533,0.9738872486960554,1689108265
0.0,0.0,0.0,-0.00935053461284283,-0.0035847556791338705,-0.22681125160891533,0.9738872486960554,1689108265
0.0,0.0,0.0,-0.009355302397893488,-0.0035826423545711875,-0.22681119262050972,0.9738872244222455,1689108265
0.0,0.0,0.0,-0.009348961805247044,-0.003581948790730159,-0.22681784691059645,0.9738857381021995,1689108265
0.0,0.0,0.0,-0.009356111616626412,-0.003574417407715578,-0.22680856849171652,0.9738878580074561,1689108265
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,0.0,0.0,-0.009360617670130167,-0.0035755625596818764,-0.22680439558425583,0.9738887823221273,1689108265
0.0,0.0,0.0,-0.009365330528632358,-0.003572144285291309,-0.22679866380483488,0.9738900843861364,1689108265
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,0.0,0.0,-0.009367838837005243,-0.0035752333674845846,-0.2268042384875514,0.9738887506825273,1689108265
0.0,0.0,0.0,-0.009367838837005243,-0.0035752333674845846,-0.2268042384875514,0.9738887506825273,1689108265
0.0,0.0,0.0,-0.009368168745622666,-0.00357265537452229,-0.22680551379141178,0.9738884599694886,1689108265
0.0,0.0,0.0,-0.00936646047087885,-0.003576560513589556,-0.2268080195768254,0.9738878784997678,1689108265
0.0,0.0,0.0,-0.009367011918670773,-0.0035751371205779725,-0.2268105163970432,0.9738872969363503,1689108265
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,0.0,0.0,-0.00936654515267766,-0.0035777295585353013,-0.22681199991788553,0.9738869464041285,1689108265
0.256,0.2854,0.03282,0.0,0.0,0.0,1.0,1689108265
0.256,-0.2854,0.03282,0.0,0.0,0.0,1.0,1689108265
-0.256,0.2854,0.03282,0.0,0.0,0.0,1.0,1689108265
-0.256,-0.2854,0.03282,0.0,0.0,0.0,1.0,1689108265
0.0,0.0,0.0,-0.009364560764329248,-0.0035746103422118806,-0.22681188747391806,0.9738870031287569,1689108265
0.0,0.0,0.0,-0.009366036428489809,-0.0035732349401548765,-0.22681200866305803,0.9738869657613821,1689108265
0.0,0.0,0.0,-0.009366036428489809,-0.0035732349401548765,-0.22681200866305803,0.9738869657613821,1689108265
0.0,0.0,0.0,-0.009366560794450538,-0.0035741215458945045,-0.22680869873349746,0.9738877283203011,1689108265
0.0,0.0,0.0,-0.009363178947947004,-0.0035699714515001627,-0.22680222450616694,0.9738892838217692,1689108265
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,0.0,0.0,-0.009366015994971647,-0.003569506643639887,-0.2268009522094945,0.9738895545407443,1689108265
0.0,0.0,0.0,-0.0093641433733096,-0.003569794415041364,-0.22679904238261614,0.9738900162549398,1689108265
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,0.0,0.0,-0.009373363754820065,-0.003568131599827701,-0.22679616553372858,0.973890603603918,1689108265
0.0,0.0,0.0,-0.009378707069962432,-0.0035693074921083778,-0.2267952128410226,0.9738907697119414,1689108265
0.0,0.0,0.0,-0.009378707069962432,-0.0035693074921083778,-0.2267952128410226,0.9738907697119414,1689108265
0.0,0.0,0.0,-0.009375261942994415,-0.003567655272161801,-0.22679552642934062,0.9738907359098338,1689108265
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1689108265
0.0,0.0,0.0,-0.009378704659521394,-0.0035697280014144483,-0.22679427634879962,0.9738909862794345,1689108265
0.0,0.0,0.0,-0.009368520755164476,-0.003574653705951147,-0.22679164000574933,0.973891680164301,1689108265
0.0,0.0,0.0,-0.009369726351199276,-0.003576152303611679,-0.2267941289663206,0.9738910834529768,1689108265
0.256,0.2854,0.03282,0.0,0.0,0.0,1.0,1689108265
0.256,-0.2854,0.03282,0.0,0.0,0.0,1.0,1689108265
-0.256,0.2854,0.03282,0.0,0.0,0.0,1.0,1689108265
-0.256,-0.2854,0.03282,0.0,0.0,0.0,1.0,1689108265
0.0,0.0,0.0,-0.009375517028571369,-0.0035736972458518634,-0.22679754843854075,0.9738902404227643,1689108265
0.0,0.0,0.0,-0.009379041314904506,-0.003576806779405889,-0.22679595810207936,0.9738905654260318,1689108266
0.0,0.0,0.0,-0.009379041314904506,-0.003576806779405889,-0.22679595810207936,0.9738905654260318,1689108266
0.0,0.0,0.0,-0.009374123363575045,-0.003577883598910275,-0.22679367932817063,0.9738911394898857,1689108266
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1689108266
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1689108266
0.0,0.0,0.0,-0.009379657518108457,-0.0035741149322141897,-0.22679426473278513,0.9738909637180179,1689108266
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1689108266
0.0,0.0,0.0,-0.009379006283005841,-0.0035678221499578985,-0.22679261348406424,0.9738913775957345,1689108266
0.0,0.0,0.0,-0.009378187518767357,-0.0035658821847387944,-0.22679465216818065,0.9738909178296209,1689108266
0.0,0.0,0.0,-0.009373413843299599,-0.0035657342030527613,-0.22679507317093428,0.9738908662873402,1689108266
0.0,0.0,0.0,-0.009386787724045135,-0.0035684382845744818,-0.22679619550468694,0.9738904662070744,1689108266
